GIC Current (amps),,
Time (MDT = GMT-6),89S_T1,89S_T2
2021-10-11 19:43,-3.730059,-3.710000
2021-10-11 19:43,-3.730391,-3.855000
2021-10-11 19:43,-3.730722,-5.265000
2021-10-11 19:43,-3.731053,-5.215000
2021-10-11 19:43,-3.731385,-5.165000
2021-10-11 19:43,-3.731716,-5.115000
2021-10-11 19:43,-3.732047,-4.920000
2021-10-11 19:43,-3.732378,-4.580000
2021-10-11 19:43,-3.732709,-4.240000
2021-10-11 19:43,-3.733041,-3.993572
2021-10-11 19:43,-3.733372,-3.840714
2021-10-11 19:43,-3.733703,-3.687857
2021-10-11 19:43,-3.734035,-3.535000
2021-10-11 19:43,-3.734366,-3.382143
2021-10-11 19:43,-3.734697,-3.229286
2021-10-11 19:43,-3.735028,-3.076429
2021-10-11 19:43,-3.735359,-4.475000
2021-10-11 19:43,-3.735691,-5.265000
2021-10-11 19:44,-3.736022,-3.895000
2021-10-11 19:44,-3.736353,-2.525000
2021-10-11 19:44,-3.736685,-2.546667
2021-10-11 19:44,-3.737016,-3.960000
2021-10-11 19:44,-3.737347,-5.373333
2021-10-11 19:44,-3.737678,-5.847857
2021-10-11 19:44,-3.738009,-5.383572
2021-10-11 19:44,-3.738341,-4.919286
2021-10-11 19:44,-3.738672,-4.455000
2021-10-11 19:44,-3.739003,-3.990715
2021-10-11 19:44,-3.739334,-3.526429
2021-10-11 19:44,-3.739666,-3.062143
2021-10-11 19:44,-3.739997,-4.615000
2021-10-11 19:44,-3.740328,-5.836250
2021-10-11 19:44,-3.740659,-4.708750
2021-10-11 19:44,-3.740991,-3.581250
2021-10-11 19:44,-3.741322,-2.453750
2021-10-11 19:44,-3.741653,-2.040000
2021-10-11 19:44,-3.741984,-2.340000
2021-10-11 19:44,-3.742316,-2.640000
2021-10-11 19:44,-3.742647,-2.940000
2021-10-11 19:44,-3.742978,-3.240000
2021-10-11 19:44,-3.743309,-3.540000
2021-10-11 19:44,-3.743641,-3.840000
2021-10-11 19:44,-3.743972,-4.140000
2021-10-11 19:44,-3.744303,-4.440000
2021-10-11 19:44,-3.744634,-5.930000
2021-10-11 19:44,-3.744966,-6.645000
2021-10-11 19:44,-3.745297,-5.395000
2021-10-11 19:44,-3.745628,-5.815000
2021-10-11 19:45,-3.745960,-6.170000
2021-10-11 19:45,-3.746291,-4.790000
2021-10-11 19:45,-3.746622,-4.180000
2021-10-11 19:45,-3.746953,-4.340000
2021-10-11 19:45,-3.747284,-4.500000
2021-10-11 19:45,-3.747616,-4.660000
2021-10-11 19:45,-3.747947,-4.820000
2021-10-11 19:45,-3.748278,-4.980000
2021-10-11 19:45,-3.748610,-5.140000
2021-10-11 19:45,-3.748941,-5.300000
2021-10-11 19:45,-3.749272,-5.460001
2021-10-11 19:45,-3.749603,-5.620000
2021-10-11 19:45,-3.749934,-4.205000
2021-10-11 19:45,-3.750266,-4.145000
2021-10-11 19:45,-3.750597,-5.522000
2021-10-11 19:45,-3.750928,-5.406000
2021-10-11 19:45,-3.751260,-5.290000
2021-10-11 19:45,-3.751591,-5.174000
2021-10-11 19:45,-3.751922,-5.058000
2021-10-11 19:45,-3.752253,-4.913333
